FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"173",Yellowknife,CAN-NTR,Northwest Territories,CA,Canada,Provincial capital,,"0",,"0","0",,62.4560040299,-114.3510025850
"174",Juneau,USA-ALK,Alaska,US,United States,Provincial capital,,"7","Less than 50,000","19580","0",US_Census_2019,58.3029989830,-134.4040107120
"175",Jackson,USA-MSP,Mississippi,US,United States,Provincial capital,,"7","Less than 50,000","5090","0",US_Census_2019,32.3189999198,-90.2030036796
"176",Baton Rouge,USA-LOU,Louisiana,US,United States,Provincial capital,,"5","100,000 to 249,999","8970","0",US_Census_2019,30.4649999395,-91.1529986998
"177",New Orleans,USA-LOU,Louisiana,US,United States,Other,,"4","250,000 to 499,999","8860","0",US_Census_2019,29.9563829347,-90.0986937028
"178",Houston,USA-TEX,Texas,US,United States,Other,,"2","1,000,000 to 4,999,999","9240","0",US_Census_2019,29.7718289387,-95.4071096289
"179",Fairbanks,USA-ALK,Alaska,US,United States,Other,,"7","Less than 50,000","0","0",US_Census_2019,64.8387449864,-147.6511826540
"180",Nome,USA-ALK,Alaska,US,United States,Other,,"7","Less than 50,000","20400","0",US_Census_2019,64.5862859293,-165.2699966530
"181",Whitehorse,CAN-YTR,Yukon Territory,CA,Canada,Provincial capital,,"0",,"0","0",,60.7259969837,-135.0440096620
"182",Seward,USA-ALK,Alaska,US,United States,Other,,"7","Less than 50,000","19760","0",US_Census_2019,60.1199999613,-149.4500035970
"183",Honolulu,USA-HAW,Hawaii,US,United States,Provincial capital,,"4","250,000 to 499,999","56280","0",US_Census_2019,21.3290009272,-157.8619977010
"184",Hilo,USA-HAW,Hawaii,US,United States,Other,,"7","Less than 50,000","56090","0",US_Census_2019,19.7148150666,-155.0672906360
"185",Anchorage,USA-ALK,Alaska,US,United States,Other,,"4","250,000 to 499,999","19800","0",US_Census_2019,61.2029970116,-149.8979875550
"186",Edmonton,CAN-ALB,Alberta,CA,Canada,Provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,53.5560029187,-113.5079997010
"187",Calgary,CAN-ALB,Alberta,CA,Canada,Other,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,51.0299999453,-114.0499975730
"188",Vancouver,CAN-BCL,British Columbia,CA,Canada,Other,,"3","500,000 to 999,999","18150","0",UN_Data_2010_2020,49.2742979204,-122.9630665980
"189",Victoria,CAN-BCL,British Columbia,CA,Canada,Provincial capital,,"6","50,000 to 99,999","5760","0",UN_Data_2010_2020,48.4440030227,-123.3710006970
"190",Seattle,USA-WSH,Washington,US,United States,Other,,"3","500,000 to 999,999","17730","0",US_Census_2019,47.5885529540,-122.3166506880
"191",Olympia,USA-WSH,Washington,US,United States,Provincial capital,,"6","50,000 to 99,999","17660","0",US_Census_2019,47.0439990213,-122.8920026190
"192",Portland,USA-ORE,Oregon,US,United States,Other,,"3","500,000 to 999,999","16940","0",US_Census_2019,45.4421249794,-122.6416855820
"193",Inuvik,CAN-NTR,Northwest Territories,CA,Canada,Other,,"0",,"0","0",,68.3659980681,-133.7059885580
"194",Bismarck,USA-NDA,North Dakota,US,United States,Provincial capital,,"6","50,000 to 99,999","0","0",US_Census_2019,46.7999999854,-100.7832955810
"195",Churchill,CAN-MNT,Manitoba,CA,Canada,Other,,"0",,"1090","0",,58.7484629554,-94.1318996680
"196",Saskatoon,CAN-SSK,Saskatchewan,CA,Canada,Other,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,52.1099999210,-106.6300017180
"197",Regina,CAN-SSK,Saskatchewan,CA,Canada,Provincial capital,,"5","100,000 to 249,999","0","0",UN_Data_2010_2020,50.4479970606,-104.6159995590
"198",Winnipeg,CAN-MNT,Manitoba,CA,Canada,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,49.9210019371,-97.1240035844
"199",Helena,USA-MNT,Montana,US,United States,Provincial capital,,"7","Less than 50,000","0","0",US_Census_2019,46.5959970260,-112.0349965550
"200",Saint Paul,USA-MNN,Minnesota,US,United States,Provincial capital,,"4","250,000 to 499,999","0","0",US_Census_2019,45.0209970339,-93.0650036813
"201",Pierre,USA-SDA,South Dakota,US,United States,Provincial capital,,"7","Less than 50,000","0","0",US_Census_2019,44.3666969863,-100.3499996220
"202",Minneapolis,USA-MNN,Minnesota,US,United States,Other,,"4","250,000 to 499,999","0","0",US_Census_2019,44.9241930650,-93.3077875708
"203",Des Moines,USA-IOW,Iowa,US,United States,Provincial capital,,"5","100,000 to 249,999","0","0",US_Census_2019,41.5979999812,-93.6219956968
