FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"2240",Qal eh-ye_Afghanistan,AFG-BDG,Badghis,AF,Afghanistan,Provincial capital,,"0",,"0","0",,"34.9830000474","63.1332994138"
"2241",Chaghcharan_Afghanistan,AFG-GHW,Ghowr,AF,Afghanistan,Provincial capital,,"0",,"0","0",,"34.5167010203","65.2500004003"
"2242",Herat_Afghanistan,AFG-HER,Herat,AF,Afghanistan,Provincial capital,,"0",,"0","1",,"34.3449989818","62.1870032844"
"2243",Kerman_Iran,IRN-KRM,Kerman,IR,Iran,Provincial capital,,"3","500,000 to 999,999","0","1",UN_Data_2010_2020,"30.2799959935","57.0670024190"
"2244",Zahedan_Iran,IRN-BVS,Sistan va Baluchestan,IR,Iran,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,"29.5000020052","60.8730032919"
"2245",Bandar-E Abbas_Iran,IRN-HRM,Hormozgan,IR,Iran,Provincial capital,,"3","500,000 to 999,999","48520","0",UN_Data_2010_2020,"27.1950120566","56.2740034009"
"2246",Al Kasab_Oman,OMN-MSN,Musandam,MU,Oman,Other,,"0",,"0","0",,"26.1924930195","56.3010214215"
"2247",Fujairad_United Arab Emirates,ARE-AFJ,Al Fujayrah,AE,United Arab Emirates,Provincial capital,,"0",,"48262","0",,"25.1190000267","56.3499992891"
"2248",Karachi_Pakistan,PAK-SIN,Sind,PK,Pakistan,Provincial capital,,"1","5,000,000 and greater","48600","0",UN_Data_2010_2020,"24.8930009794","67.0280043270"
"2249",Muscat_Oman,OMN-MSQ,Masqat,MU,Oman,National and provincial capital,,"0",,"0","0",,"23.6069999946","58.5880024454"
"2250",Tarin Kowt_Afghanistan,AFG-ORZ,Oruzgan,AF,Afghanistan,Provincial capital,,"0",,"0","0",,"32.6332980689","65.8666984235"
"2251",Farah_Afghanistan,AFG-FAR,Farah,AF,Afghanistan,Provincial capital,,"0",,"0","1",,"32.3749979352","62.1160023550"
"2252",Qalat_Afghanistan,AFG-ZAB,Zabol,AF,Afghanistan,Provincial capital,,"0",,"0","0",,"32.1049979413","66.8999974213"
"2253",Kandahar_Afghanistan,AFG-QND,Quandahar,AF,Afghanistan,Provincial capital,,"0",,"0","0",,"31.6109969497","65.7000004454"
"2254",Lashkar Gah_Afghanistan,AFG-HLM,Helmand,AF,Afghanistan,Provincial capital,,"0",,"0","0",,"31.5829979420","64.3599993294"
"2255",Zaranj_Afghanistan,AFG-NMR,Nimruz,AF,Afghanistan,Provincial capital,,"0",,"0","0",,"31.1120009993","61.8869972969"
"2256",Quetta_Pakistan,PAK-BLC,Baluchistan,PK,Pakistan,Provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,"30.2090040002","67.0179963718"
"2257",Mutare_Zimbabwe,ZWE-MNC,Manicaland,ZI,Zimbabwe,Provincial capital,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,"-18.9666989858","32.6666973629"
"2258",Gweru_Zimbabwe,ZWE-MDL,Midlands,ZI,Zimbabwe,Provincial capital,,"6","50,000 to 99,999","0","0",UN_Data_2010_2020,"-19.4667030626","29.7500043499"
"2259",Masvingo_Zimbabwe,ZWE-MSV,Masvingo,ZI,Zimbabwe,Provincial capital,,"0",,"0","1",,"-20.9999970356","31.5000003328"
"2260",Moroni_Comoros,COM,Comoros,CN,Comoros,National capital,,"0",,"47300","0",,"-11.7000000766","43.2430024323"
"2261",Pemba_Mozambique,MOZ-CDL,Cabo Delgado,MZ,Mozambique,Provincial capital,,"0",,"46940","0",,"-12.9666599932","40.5000004059"
"2262",Mocambique_Mozambique,MOZ-NMP,Nampula,MZ,Mozambique,Other,,"0",,"46930","0",,"-15.0661349582","40.6910344110"
"2263",Harare_Zimbabwe,ZWE-MEA,Mashonaland East,ZI,Zimbabwe,National and provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,"-17.8299990131","31.0200033958"
"2264",Chimoio_Mozambique,MOZ-MAN,Manica,MZ,Mozambique,Provincial capital,,"0",,"0","0",,"-19.1333340802","33.4833393623"
"2265",Bulawayo_Zimbabwe,ZWE-MNR,Matabeleland North,ZI,Zimbabwe,Other,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,"-20.1999960729","28.7100002853"
"2266",Lambarene_Gabon,GAB-MOG,Moyen-Ogooue,GB,Gabon,Provincial capital,,"0",,"0","0",,"-0.7059960485","10.2120033789"
"2267",Port Gentil_Gabon,GAB-OMR,Ogooue-Maritime,GB,Gabon,Provincial capital,,"5","100,000 to 249,999","46440","0",UN_Data_2010_2020,"-0.7209989625","8.7820023201"
"2268",Mouila_Gabon,GAB-NGO,Ngounie,GB,Gabon,Provincial capital,,"0",,"0","0",,"-1.8849959612","11.0040033721"
"2269",Tchibanga_Gabon,GAB-NYN,Nyanga,GB,Gabon,Provincial capital,,"0",,"0","0",,"-2.8569960056","11.0269983194"
"2270",Luena_Angola,AGO-MOX,Moxico,AO,Angola,Provincial capital,,"0",,"0","0",,"-11.7909990442","19.9050033427"
"2271",Kuito_Angola,AGO-BIE,Bie,AO,Angola,Provincial capital,,"0",,"0","0",,"-12.3800040390","16.9389993435"
"2272",Menongue_Angola,AGO-CCB,Cuando Cubango,AO,Angola,Provincial capital,,"0",,"0","0",,"-14.7999960290","17.8667013980"
"2273",Toliara_Madagascar,MDG-TOL,Toliara,MA,Madagascar,Provincial capital,,"5","100,000 to 249,999","47460","1",UN_Data_2010_2020,"-23.3499960572","43.6666684008"
"2274",Inhambane_Mozambique,MOZ-INH,Inhambane,MZ,Mozambique,Provincial capital,,"0",,"46880","1",,"-23.8740030423","35.3880003445"
"2275",Tsumeb_Namibia,NAM-TSM,Tsumeb,WA,Namibia,Provincial capital,,"0",,"0","1",,"-19.2480030030","17.7110012984"
"2276",Otavi_Namibia,NAM-GRT,Grootfontein,WA,Namibia,Provincial capital,,"0",,"0","0",,"-19.6399980468","17.3420013674"
"2277",Ghanzi_Botswana,BWA-GHN,Ghanzi,BC,Botswana,Provincial capital,,"0",,"0","1",,"-21.7050029311","21.6469983561"
"2278",Okahandja_Namibia,NAM-OKH,Okahandja,WA,Namibia,Provincial capital,,"0",,"0","1",,"-21.9830040600","16.9129983855"
"2279",Gobabis_Namibia,NAM-GBB,Gobabis,WA,Namibia,Provincial capital,,"0",,"0","1",,"-22.4550000275","18.9630003558"
"2280",Swakopmund_Namibia,NAM-SWK,Swakopmund,WA,Namibia,Provincial capital,,"0",,"0","1",,"-22.6739969648","14.5279984116"
"2281",Walvis Bay_Namibia,NAM-SWK,Swakopmund,WA,Namibia,Other,,"0",,"46640","0",,"-23.1018660527","14.6170982888"
"2282",Luderitz_Namibia,NAM-LDR,Luderitz,WA,Namibia,Provincial capital,,"0",,"46650","1",,"-26.6439959499","15.1550014332"
"2283",Cape Town_South Africa,ZAF-WCP,Western Cape,SF,South Africa,Provincial capital,,"2","1,000,000 to 4,999,999","46770","0",UN_Habitat_2020,"-33.9789959227","18.4820043940"
"2284",Windhoek_Namibia,NAM-WND,Windhoek,WA,Namibia,National and provincial capital,,"4","250,000 to 499,999","0","1",UN_Data_2010_2020,"-22.5600030498","17.0769963322"
"2285",Rehoboth_Namibia,NAM-RHB,Rehoboth,WA,Namibia,Provincial capital,,"0",,"0","1",,"-23.3199989998","17.0810013677"
"2286",Mariental_Namibia,NAM-MRN,Mariental,WA,Namibia,Provincial capital,,"0",,"0","1",,"-24.6210030641","17.9589964337"
"2287",Maltahohe_Namibia,NAM-MLT,Maltahohe,WA,Namibia,Provincial capital,,"0",,"0","1",,"-24.8390009765","16.9720024115"
"2288",Tsabong_Botswana,BWA-KGL,Kgalagadi,BC,Botswana,Provincial capital,,"0",,"0","0",,"-26.0170020299","22.3970043886"
"2289",Bethanien_Namibia,NAM-BTH,Bethanien,WA,Namibia,Provincial capital,,"0",,"0","1",,"-26.5020030272","17.1610022914"
"2290",Keetmanshoop_Namibia,NAM-KTM,Keetmanshoop,WA,Namibia,Provincial capital,,"0",,"0","1",,"-26.5740029815","18.1330023357"
"2291",Karasburg_Namibia,NAM-KRS,Karasburg,WA,Namibia,Provincial capital,,"0",,"0","1",,"-28.0220040288","18.7450024433"
"2292","Bandundu_Congo, DRC",ZAR-BAN,Bandundu,CG,"Congo, DRC",Provincial capital,,"0",,"0","1",,"-3.3149970200","17.3860023139"
"2293",Brazzaville_Congo,COG-POO,Pool,CF,Congo,National capital,,"2","1,000,000 to 4,999,999","0","0",UN_Habitat_2020,"-4.2851879970","15.2851414233"
"2294",Kinkala_Congo,COG-POO,Pool,CF,Congo,Provincial capital,,"0",,"0","0",,"-4.3559999440","14.7619984284"
"2295","Kananga_Congo, DRC",ZAR-KOC,Kasai-Occidental,CG,"Congo, DRC",Provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Habitat_2020,"-5.8920030500","22.4029983722"
