airline,airline_id,src,src_id,dest,dest_id,codeshare,stops,equipment,src_lat,src_lon,dest_lat,dest_lon,id
2P,"897",MNL,"2397",SUG,"6016",,"0",DH4,14.5086,121.019997,9.755838326,125.4809475,"205"
2Z,"1729",BSB,"2531",OPS,"7367",,"0",AT7,-15.86916733,-47.92083359,-11.88500023,-55.58610916,"219"
2Z,"1729",BSB,"2531",RAO,"2613",,"0",AT7,-15.86916733,-47.92083359,-21.13638878,-47.77666855,"220"
2Z,"1729",CAC,"2535",GRU,"2564",,"0",AT7,-25.00029945,-53.50080109,-23.43555641,-46.47305679,"221"
2Z,"1729",DOU,"7380",CGR,"2538",,"0",AT7,-22.2019,-54.926601,-20.46870041,-54.67250061,"225"
2Z,"1729",DOU,"7380",GRU,"2564",,"0",AT7,-22.2019,-54.926601,-23.43555641,-46.47305679,"226"
2Z,"1729",GIG,"2560",RAO,"2613",,"0",AT7,-22.80999947,-43.25055695,-21.13638878,-47.77666855,"227"
2Z,"1729",GRU,"2564",RAO,"2613",,"0",AT7,-23.43555641,-46.47305679,-21.13638878,-47.77666855,"230"
2Z,"1729",GRU,"2564",UBA,"2635",,"0",AT7,-23.43555641,-46.47305679,-19.76472282,-47.96611023,"231"
2Z,"1729",GRU,"2564",UDI,"2633",,"0",AT7,-23.43555641,-46.47305679,-18.883612,-48.225277,"232"
2Z,"1729",GRU,"2564",VDC,"6039",,"0",AT7,-23.43555641,-46.47305679,-14.86279964,-40.86309814,"233"
2Z,"1729",GYN,"2562",RAO,"2613",,"0",AT7,-16.63199997,-49.22069931,-21.13638878,-47.77666855,"236"
2Z,"1729",GYN,"2562",UDI,"2633",,"0",AT7,-16.63199997,-49.22069931,-18.883612,-48.225277,"237"
2Z,"1729",PLU,"2528",RAO,"2613",,"0",AT7,-19.8512001,-43.95059967,-21.13638878,-47.77666855,"240"
2Z,"1729",RAO,"2613",UDI,"2633",,"0",AT7,-21.13638878,-47.77666855,-18.883612,-48.225277,"249"
2Z,"1729",UBA,"2635",UDI,"2633",,"0",AT7,-19.76472282,-47.96611023,-18.883612,-48.225277,"254"
3E,"10739",DEC,"4042",STL,"3678",,"0",CNC,39.83459854,-88.86569977,38.748697,-90.370003,"264"
3E,"10739",JBR,"3591",STL,"3678",,"0",CNC,35.83169937,-90.64640045,38.748697,-90.370003,"265"
3E,"10739",ORD,"3830",BRL,"5726",,"0",CNC,41.9786,-87.9048,40.78319931,-91.12550354,"266"
3E,"10739",ORD,"3830",DEC,"4042",,"0",CNC,41.9786,-87.9048,39.83459854,-88.86569977,"267"
3E,"10739",STL,"3678",BRL,"5726",,"0",CNC,38.748697,-90.370003,40.78319931,-91.12550354,"268"
3F,"16262",KTN,"3808",MTM,"7146",,"0",DHP,55.35559845,-131.7140045,55.131001,-131.578003,"281"
3G,"595",ACC,"248",DKR,"1084",,"0","319",5.6051898,-0.166786,14.73970032,-17.49020004,"283"
3G,"595",BJL,"1050",BCN,"1218",,"0","319",13.3380003,-16.6522007,41.2971,2.07846,"287"
3G,"595",DKR,"1084",LOS,"273",,"0","319",14.73970032,-17.49020004,6.577370167,3.321160078,"295"
3G,"595",DLA,"897",DKR,"1084",,"0","319",4.006080151,9.719479561,14.73970032,-17.49020004,"297"
3G,"595",DLA,"897",LOS,"273",,"0","319",4.006080151,9.719479561,6.577370167,3.321160078,"298"
3G,"595",FNA,"1059",BJL,"1050",,"0","319",8.61644,-13.1955,13.3380003,-16.6522007,"299"
3G,"595",FNA,"1059",LGW,"502",,"0","319",8.61644,-13.1955,51.148102,-0.190278,"301"
3G,"595",ROB,"1063",LOS,"273",,"0","319",6.23379,-10.3623,6.577370167,3.321160078,"312"
3H,\N,AKV,"5506",YIK,"5504",,"0",DH8,60.8185997,-78.14859772,62.41730118,-77.9253006,"313"
3H,\N,AKV,"5506",YPX,"6727",,"0",DH8,60.8185997,-78.14859772,60.05059814,-77.28690338,"314"
3H,\N,XGR,"5512",YVP,"154",,"0",DHT BET,58.71139908,-65.99279785,58.09609985,-68.42690277,"315"
3H,\N,YGL,"62",YGW,"5496",,"0",DHT,53.62530136,-77.70420074,55.2818985,-77.76529694,"316"
3H,\N,YGL,"62",YPX,"6727",,"0",73M,53.62530136,-77.70420074,60.05059814,-77.28690338,"317"
3H,\N,YGL,"62",YUL,"146",,"0",73M,53.62530136,-77.70420074,45.47060013,-73.74079895,"318"
3H,\N,YGW,"5496",YPH,"5520",,"0",BET,55.2818985,-77.76529694,58.47190094,-78.07689667,"320"
3H,\N,YGW,"5496",YSK,"5529",,"0",DH8,55.2818985,-77.76529694,56.53779984,-79.24669647,"321"
3H,\N,YGW,"5496",YUD,"5515",,"0",DH8,55.2818985,-77.76529694,56.53609848,-76.51830292,"322"
3H,\N,YGW,"5496",YUL,"146",,"0",DH8,55.2818985,-77.76529694,45.47060013,-73.74079895,"323"
3H,\N,YGW,"5496",YUY,"149",,"0",DH8,55.2818985,-77.76529694,48.20610046,-78.83560181,"324"
3H,\N,YIK,"5504",YZG,"5535",,"0",DH8,62.41730118,-77.9253006,62.1794014,-75.66719818,"326"
3H,\N,YKG,"5481",YPJ,"5508",,"0",DHT DH8,60.02719879,-69.99919891,59.29669952,-69.59970093,"327"
3H,\N,YKG,"5481",YQC,"5499",,"0",DH8,60.02719879,-69.99919891,61.04639816,-69.61779785,"328"
3H,\N,YKG,"5481",YVP,"154",,"0",DH8 DHT,60.02719879,-69.99919891,58.09609985,-68.42690277,"329"
3H,\N,YKL,"80",YQB,"111",,"0",DH8,54.80530167,-66.80529785,46.7911,-71.393303,"330"
3H,\N,YKL,"80",YVP,"154",,"0",DH8 BET,54.80530167,-66.80529785,58.09609985,-68.42690277,"331"
3H,\N,YKL,"80",YWK,"161",,"0",BET,54.80530167,-66.80529785,52.9219017,-66.86440277,"332"
3H,\N,YKL,"80",YZV,"202",,"0",BET DH8,54.80530167,-66.80529785,50.22330093,-66.26560211,"333"
3H,\N,YPH,"5520",YPX,"6727",,"0",DH8 BET,58.47190094,-78.07689667,60.05059814,-77.28690338,"334"
3H,\N,YPH,"5520",YUD,"5515",,"0",DH8,58.47190094,-78.07689667,56.53609848,-76.51830292,"335"
3H,\N,YPH,"5520",YVP,"154",,"0",BET,58.47190094,-78.07689667,58.09609985,-68.42690277,"336"
3H,\N,YPJ,"5508",YVP,"154",,"0",DHT,59.29669952,-69.59970093,58.09609985,-68.42690277,"339"
3H,\N,YPX,"6727",YVP,"154",,"0",BET,60.05059814,-77.28690338,58.09609985,-68.42690277,"343"
3H,\N,YQC,"5499",YWB,"7253",,"0",DH8,61.04639816,-69.61779785,61.58860016,-71.92939758,"347"
3H,\N,YSK,"5529",YUD,"5515",,"0",DH8,56.53779984,-79.24669647,56.53609848,-76.51830292,"349"
3H,\N,YTQ,"6728",YPJ,"5508",,"0",DHT DH8,58.6678009,-69.95580292,59.29669952,-69.59970093,"350"
3H,\N,YTQ,"6728",YVP,"154",,"0",DHT DH8,58.6678009,-69.95580292,58.09609985,-68.42690277,"351"
3H,\N,YVP,"154",YGW,"5496",,"0",BET,58.09609985,-68.42690277,55.2818985,-77.76529694,"362"
3H,\N,YWB,"7253",YZG,"5535",,"0",DH8,61.58860016,-71.92939758,62.1794014,-75.66719818,"370"
3J,"5521",JIB,"4119",JED,"2072",,"0","737",11.54730034,43.15950012,21.6796,39.156502,"378"
3K,"3021",HAK,"4120",SIN,"3316",,"0","320",19.93490028,110.4589996,1.35019,103.994003,"384"
3K,"3021",HGH,"3386",SIN,"3316",,"0","320",30.22949982,120.4339981,1.35019,103.994003,"385"
3K,"3021",HKT,"3179",SIN,"3316",,"0","320",8.1132,98.316902,1.35019,103.994003,"387"
3K,"3021",PNH,"3034",SIN,"3316",,"0","320",11.54660034,104.8440018,1.35019,103.994003,"395"
3K,"3021",REP,"3035",SIN,"3316",,"0","320",13.41069984,103.8130035,1.35019,103.994003,"396"
3K,"3021",RGN,"3239",SIN,"3316",,"0","320",16.90730095,96.1332016,1.35019,103.994003,"397"
3K,"3021",SGN,"3205",SIN,"3316",,"0","320",10.81879997,106.6520004,1.35019,103.994003,"398"
3K,"3021",SIN,"3316",DRW,"3999",,"0","320",1.35019,103.994003,-12.41469955,130.8769989,"400"
3K,"3021",SIN,"3316",SWA,"4302",,"0","320",1.35019,103.994003,23.552,116.5033,"413"
3L,"2916",ACH,"1679",EBA,"1558",,"0",DH3,47.48500061,9.560770035,42.7603,10.2394,"418"
3L,"2916",DRS,"338",ZRH,"1678",,"0",DH3,51.13280106,13.76720047,47.464699,8.54917,"419"
3L,"2916",EBA,"1558",MUC,"346",,"0",DH3,42.7603,10.2394,48.353802,11.7861,"423"
3L,"2916",EBA,"1558",ZRH,"1678",,"0",DH3,42.7603,10.2394,47.464699,8.54917,"424"
3L,"2916",FDH,"382",DUS,"345",,"0",DH3,47.67129898,9.511489868,51.289501,6.76678,"425"
3L,"2916",FDH,"382",EBA,"1558",,"0",DH3,47.67129898,9.511489868,42.7603,10.2394,"426"
3L,"2916",FDH,"382",HAM,"342",,"0",AT7,47.67129898,9.511489868,53.63040161,9.988229752,"427"
3L,"2916",FDH,"382",OLB,"1520",,"0",AT7,47.67129898,9.511489868,40.898701,9.51763,"428"
3L,"2916",FDH,"382",TXL,"351",,"0",AT7,47.67129898,9.511489868,52.5597,13.2877,"429"
3L,"2916",FDH,"382",ZAD,"1209",,"0",AT7,47.67129898,9.511489868,44.108299,15.3467,"430"
3L,"2916",FMM,"3986",NAP,"1561",,"0",AT7,47.98880005,10.23950005,40.886002,14.2908,"431"
3L,"2916",ZRH,"1678",GRZ,"1609",,"0",DH3,47.464699,8.54917,46.99110031,15.43959999,"442"
3L,"2916",ZRH,"1678",SZG,"1612",,"0",DH3,47.464699,8.54917,47.79330063,13.00430012,"443"
3M,"20710",ATL,"3682",LWB,"6958",,"0",SF3,33.6367,-84.428101,37.85829926,-80.39949799,"444"
3M,"20710",ATL,"3682",MCN,"3754",,"0",SF3,33.6367,-84.428101,32.69279861,-83.64920044,"445"
3M,"20710",ATL,"3682",MEI,"4335",,"0",SF3,33.6367,-84.428101,32.33259964,-88.75189972,"446"
3M,"20710",ATL,"3682",MSL,"5756",,"0",SF3,33.6367,-84.428101,34.74530029,-87.61019897,"447"
3M,"20710",ATL,"3682",PIB,"5759",,"0",SF3,33.6367,-84.428101,31.46710014,-89.33709717,"448"
3M,"20710",ATL,"3682",TUP,"5773",,"0",SF3,33.6367,-84.428101,34.26810074,-88.76989746,"449"
3M,"20710",ELH,"1943",PBI,"3722",,"0",SF3,25.47489929,-76.6835022,26.68320084,-80.09559631,"452"
3M,"20710",EYW,"3875",RSW,"3793",,"0",SF3,24.55610085,-81.75959778,26.53619957,-81.75520325,"454"
3M,"20710",FLL,"3533",BIM,"1937",,"0",SF3,26.072599,-80.152702,25.69989967,-79.26470184,"456"
3M,"20710",FLL,"3533",ELH,"1943",,"0",SF3,26.072599,-80.152702,25.47489929,-76.6835022,"457"
3M,"20710",FLL,"3533",EYW,"3875",,"0",SF3,26.072599,-80.152702,24.55610085,-81.75959778,"458"
3M,"20710",FLL,"3533",FPO,"1948",,"0",SF3,26.072599,-80.152702,26.55870056,-78.69560242,"459"
3M,"20710",FLL,"3533",GGT,"1941",,"0",SF3,26.072599,-80.152702,23.56259918,-75.87799835,"460"
3M,"20710",FLL,"3533",GHB,"1944",,"0",SF3,26.072599,-80.152702,25.28470039,-76.33100128,"461"
3M,"20710",FLL,"3533",MCO,"3878",,"0",SF3,26.072599,-80.152702,28.42939949,-81.30899811,"462"
3M,"20710",FLL,"3533",MHH,"1930",,"0",SF3,26.072599,-80.152702,26.5114,-77.083503,"463"
3M,"20710",FLL,"3533",TCB,"1934",,"0",SF3,26.072599,-80.152702,26.74530029,-77.39129639,"464"
3M,"20710",GGT,"1941",GHB,"1944",,"0",SF3,23.56259918,-75.87799835,25.28470039,-76.33100128,"468"
3M,"20710",GLH,"6130",TUP,"5773",,"0",SF3,33.48289871,-90.98560333,34.26810074,-88.76989746,"470"
3M,"20710",GNV,"3472",TPA,"3646",,"0",SF3,29.69009972,-82.27179718,27.97550011,-82.53320313,"472"
3M,"20710",JAX,"3712",MHH,"1930",,"0",SF3,30.49410057,-81.68789673,26.5114,-77.083503,"473"
3M,"20710",JAX,"3712",TPA,"3646",,"0",SF3,30.49410057,-81.68789673,27.97550011,-82.53320313,"474"
3M,"20710",MCN,"3754",MCO,"3878",,"0",SF3,32.69279861,-83.64920044,28.42939949,-81.30899811,"477"
3M,"20710",MCO,"3878",GNV,"3472",,"0",SF3,28.42939949,-81.30899811,29.69009972,-82.27179718,"479"
3M,"20710",MCO,"3878",RSW,"3793",,"0",SF3,28.42939949,-81.30899811,26.53619957,-81.75520325,"483"
3M,"20710",MCO,"3878",TLH,"3698",,"0",SF3,28.42939949,-81.30899811,30.39649963,-84.35030365,"484"
3M,"20710",MHH,"1930",MCO,"3878",,"0",SF3,26.5114,-77.083503,28.42939949,-81.30899811,"488"
3M,"20710",MHH,"1930",PBI,"3722",,"0",SF3,26.5114,-77.083503,26.68320084,-80.09559631,"489"
3M,"20710",PBI,"3722",TPA,"3646",,"0",SF3,26.68320084,-80.09559631,27.97550011,-82.53320313,"493"
3M,"20710",PNS,"3564",MCO,"3878",,"0",SF3,30.47340012,-87.18659973,28.42939949,-81.30899811,"495"
3M,"20710",TPA,"3646",PNS,"3564",,"0",SF3,27.97550011,-82.53320313,30.47340012,-87.18659973,"507"
3M,"20710",TPA,"3646",TLH,"3698",,"0",SF3,27.97550011,-82.53320313,30.39649963,-84.35030365,"508"
3O,"9818",CMN,"1074",BGY,"1525",,"0","320",33.36750031,-7.589970112,45.673901,9.70417,"523"
3O,"9818",CMN,"1074",CUF,"1534",,"0","320",33.36750031,-7.589970112,44.547001,7.62322,"526"
3O,"9818",CMN,"1074",SAW,"4317",,"0","320",33.36750031,-7.589970112,40.89860153,29.30920029,"530"
3O,"9818",CMN,"1074",TSF,"1539",,"0","320",33.36750031,-7.589970112,45.648399,12.1944,"532"
3O,"9818",LGW,"502",TNG,"1080",,"0","320",51.148102,-0.190278,35.72689819,-5.916890144,"536"
3O,"9818",MPL,"1359",CMN,"1074",,"0","320",43.57619858,3.963010073,33.36750031,-7.589970112,"538"
3O,"9818",MPL,"1359",FEZ,"1066",,"0","320",43.57619858,3.963010073,33.9272995,-4.97796011,"539"
3O,"9818",MPL,"1359",NDR,"5673",,"0","320",43.57619858,3.963010073,34.98880005,-3.028209925,"540"
3O,"9818",PMI,"3998",NDR,"5673",,"0","320",39.55170059,2.738810062,34.98880005,-3.028209925,"547"
3P,"5002",AUA,"2895",LSP,"2844",,"0",SH6,12.5014,-70.015198,11.78077507,-70.15149689,"555"
3P,"5002",AUA,"2895",MAR,"2848",,"0",SH6,12.5014,-70.015198,10.55820847,-71.7278595,"556"
3P,"5002",CUR,"2897",AUA,"2895",,"0",SH6,12.1889,-68.959801,12.5014,-70.015198,"558"
3R,"3545",ASF,"2966",DME,"4029",,"0",SU9,46.28329849,48.00630188,55.40879822,37.90629959,"561"
3R,"3545",ASF,"2966",LED,"2948",,"0",SU9,46.28329849,48.00630188,59.8003006,30.26250076,"562"
3R,"3545",BHK,"2980",DME,"4029",,"0","734",39.77500153,64.48329926,55.40879822,37.90629959,"563"
3R,"3545",DME,"4029",KSQ,"6153",,"0","734",55.40879822,37.90629959,38.83359909,65.92150116,"568"
3R,"3545",DME,"4029",NMA,"6150",,"0","734",55.40879822,37.90629959,40.98460007,71.55670166,"569"
3R,"3545",DME,"4029",NVI,"6485",,"0","734",55.40879822,37.90629959,40.11719894,65.17079926,"570"
3R,"3545",DME,"4029",SKD,"2981",,"0","734",55.40879822,37.90629959,39.70050049,66.9838028,"571"
3R,"3545",DME,"4029",TIV,"1743",,"0",SU9 73G,55.40879822,37.90629959,42.40470123,18.72330093,"572"
3R,"3545",EGO,"6156",DME,"4029",,"0",SU9,50.64379883,36.59009933,55.40879822,37.90629959,"573"
3R,"3545",FEG,"6149",DME,"4029",,"0","734",40.35879898,71.74500275,55.40879822,37.90629959,"574"
3S,"11741",CUR,"2897",SDQ,"1762",,"0",AT5,12.1889,-68.959801,18.42970085,-69.66889954,"583"
3S,"11741",DOM,"2877",PTP,"2881",,"0",AT5,15.547,-61.299999,16.265301,-61.531799,"584"
3S,"11741",DOM,"2877",SXM,"2899",,"0",AT5,15.547,-61.299999,18.04100037,-63.10889816,"585"
3S,"11741",PTP,"2881",ANU,"2874",,"0",AT5,16.265301,-61.531799,17.1367,-61.792702,"590"
3S,"11741",PTP,"2881",SBH,"6460",,"0",DHT,16.265301,-61.531799,17.90439987,-62.84360123,"593"
3S,"11741",SFG,"2879",PTP,"2881",,"0",AT5,18.09989929,-63.04719925,16.265301,-61.531799,"600"
3S,"11741",SXM,"2899",PTP,"2881",,"0",AT5,18.04100037,-63.10889816,16.265301,-61.531799,"603"
3S,"11741",SXM,"2899",SDQ,"1762",,"0",AT5,18.04100037,-63.10889816,18.42970085,-69.66889954,"604"
3U,"4608",BHY,"6351",XIY,"3379",,"0","321",21.5394,109.293999,34.447102,108.751999,"605"
3U,"4608",CAN,"3370",SPN,"2244",,"0","330",23.39240074,113.2990036,15.119,145.729004,"608"
3U,"4608",CGQ,"4380",TSN,"3368",,"0",320 319,43.99620056,125.6849976,39.12440109,117.3460007,"619"
3U,"4608",CKG,"3393",LHW,"3378",,"0",319 321,29.71920013,106.6419983,36.51520157,103.6200027,"633"
3U,"4608",CKG,"3393",NGB,"3387",,"0","319",29.71920013,106.6419983,29.82670021,121.461998,"636"
3U,"4608",CKG,"3393",PZI,"6435",,"0","319",29.71920013,106.6419983,26.54,101.79852,"641"
3U,"4608",CKG,"3393",SWA,"4302",,"0","319",29.71920013,106.6419983,23.552,116.5033,"642"
3U,"4608",CKG,"3393",SYD,"3361",,"0","330",29.71920013,106.6419983,-33.94609833,151.177002,"643"
3U,"4608",CKG,"3393",TSA,"2275",,"0","320",29.71920013,106.6419983,25.06940079,121.552002,"647"
3U,"4608",CKG,"3393",TYN,"3369",,"0","321",29.71920013,106.6419983,37.74689865,112.6279984,"649"
3U,"4608",CKG,"3393",ZHA,"6357",,"0","319",29.71920013,106.6419983,21.214399,110.358002,"656"
3U,"4608",CSX,"3371",SHE,"4144",,"0","320",28.18919945,113.2200012,41.63980103,123.4830017,"661"
3U,"4608",CTU,"3395",CKG,"3393",,"0","330",30.57850075,103.9469986,29.71920013,106.6419983,"666"
3U,"4608",CTU,"3395",DSN,"6434",,"0","319",30.57850075,103.9469986,39.49,109.8613889,"669"
3U,"4608",CTU,"3395",HDG,"8407",,"0","319",30.57850075,103.9469986,36.52583333,114.4255556,"671"
3U,"4608",CTU,"3395",HKT,"3179",,"0","321",30.57850075,103.9469986,8.1132,98.316902,"676"
3U,"4608",CTU,"3395",JIQ,"8781",,"0","320",30.57850075,103.9469986,29.51333333,108.8311111,"680"
3U,"4608",CTU,"3395",KOW,"6379",,"0","320",30.57850075,103.9469986,25.853333,114.778889,"684"
