airline,airline_id,src,src_id,dst,dst_id,stops,equipment,lon_f,lat_f,lon_t,lat_t
3M,"20710",PBI,"3722",ELH,"1943","0",SF3,"-80.095596","26.683201","-76.683502","25.474899"
3M,"20710",PBI,"3722",MHH,"1930","0",SF3,"-80.095596","26.683201","-77.083503","26.5114"
3M,"20710",PBI,"3722",TPA,"3646","0",SF3,"-80.095596","26.683201","-82.533203","27.9755"
3M,"20710",PIB,"5759",ATL,"3682","0",SF3 ,"-89.337097","31.4671","-84.428101","33.6367"
3M,"20710",PNS,"3564",TPA,"3646","0",SF3,"-87.1866","30.4734","-82.533203","27.9755"
3M,"20710",RSW,"3793",EYW,"3875","0",SF3,"-81.755203","26.5362","-81.759598","24.556101"
3M,"20710",TCB,"1934",FLL,"3533","0",SF3,"-77.391296","26.7453","-80.152702","26.072599"
3M,"20710",TLH,"3698",TPA,"3646","0",SF3,"-84.350304","30.3965","-82.533203","27.9755"
3M,"20710",TUP,"5773",ATL,"3682","0",SF3 ,"-88.769897","34.268101","-84.428101","33.6367"
3M,"20710",TUP,"5773",GLH,"6130","0",SF3,"-88.769897","34.268101","-90.985603","33.482899"
3O,"9818",BGY,"1525",CMN,"1074","0","320","9.70417","45.673901","-7.58997","33.3675"
3O,"9818",CMN,"1074",MPL,"1359","0","320","-7.58997","33.3675","3.96301","43.576199"
3O,"9818",CMN,"1074",SAW,"4317","0","320","-7.58997","33.3675","29.3092","40.898602"
3O,"9818",CMN,"1074",TSF,"1539","0","320","-7.58997","33.3675","12.1944","45.648399"
3O,"9818",CUF,"1534",CMN,"1074","0","320","7.62322","44.547001","-7.58997","33.3675"
3O,"9818",FEZ,"1066",MPL,"1359","0","320","-4.97796","33.927299","3.96301","43.576199"
3O,"9818",LGW,"502",TNG,"1080","0","320","-0.190278","51.148102","-5.91689","35.726898"
3O,"9818",NDR,"5673",MPL,"1359","0","320","-3.02821","34.9888","3.96301","43.576199"
3O,"9818",PMI,"3998",NDR,"5673","0","320","2.73881","39.551701","-3.02821","34.9888"
3P,"5002",LSP,"2844",AUA,"2895","0",SH6,"-70.151497","11.780775","-70.015198","12.5014"
3R,"3545",ASF,"2966",LED,"2948","0",SU9,"48.006302","46.283298","30.262501","59.800301"
3R,"3545",DME,"4029",ASF,"2966","0",SU9,"37.9063","55.408798","48.006302","46.283298"
3R,"3545",TIV,"1743",DME,"4029","0",SU9 73G,"18.723301","42.404701","37.9063","55.408798"
3S,"11741",ANU,"2874",PTP,"2881","0",AT5,"-61.792702","17.1367","-61.531799","16.265301"
3S,"11741",PTP,"2881",DOM,"2877","0",AT5,"-61.531799","16.265301","-61.299999","15.547"
3S,"11741",SBH,"6460",PTP,"2881","0",DHT,"-62.843601","17.9044","-61.531799","16.265301"
3S,"11741",SFG,"2879",PTP,"2881","0",AT5,"-63.047199","18.099899","-61.531799","16.265301"
3S,"11741",SXM,"2899",DOM,"2877","0",AT5,"-63.108898","18.041","-61.299999","15.547"
3S,"11741",SXM,"2899",PTP,"2881","0",AT5,"-63.108898","18.041","-61.531799","16.265301"
3U,"4608",BHY,"6351",XIY,"3379","0","321","109.293999","21.5394","108.751999","34.447102"
3U,"4608",CAN,"3370",SPN,"2244","0","330","113.299004","23.392401","145.729004","15.119"
3U,"4608",CKG,"3393",NGB,"3387","0","319","106.641998","29.7192","121.461998","29.8267"
3U,"4608",CKG,"3393",PZI,"6435","0","319","106.641998","29.7192","101.79852","26.54"
3U,"4608",CKG,"3393",SWA,"4302","0","319","106.641998","29.7192","116.5033","23.552"
3U,"4608",CKG,"3393",SYD,"3361","0","330","106.641998","29.7192","151.177002","-33.946098"
3U,"4608",CKG,"3393",TYN,"3369","0","321","106.641998","29.7192","112.627998","37.746899"
3U,"4608",CKG,"3393",ZHA,"6357","0","319","106.641998","29.7192","110.358002","21.214399"
3U,"4608",CSX,"3371",SHE,"4144","0","320","113.220001","28.189199","123.483002","41.639801"
3U,"4608",CTU,"3395",CKG,"3393","0","330","103.946999","30.578501","106.641998","29.7192"
3U,"4608",CTU,"3395",KOW,"6379","0","320","103.946999","30.578501","114.778889","25.853333"
3U,"4608",CTU,"3395",LUM,"6376","0","319","103.946999","30.578501","98.5317","24.4011"
3U,"4608",CTU,"3395",MEL,"3339","0","330","103.946999","30.578501","144.843002","-37.673302"
3U,"4608",CTU,"3395",TSA,"2275","0","320","103.946999","30.578501","121.552002","25.069401"
3U,"4608",CTU,"3395",WXN,"6403","0","319","103.946999","30.578501","108.433","30.8017"
3U,"4608",CTU,"3395",XUZ,"4149","0","320","103.946999","30.578501","117.555278","34.059056"
3U,"4608",CTU,"3395",YIH,"6361","0","320","103.946999","30.578501","111.479988","30.55655"
3U,"4608",CTU,"3395",YTY,"8876","0","319","103.946999","30.578501","119.7198","32.5634"
3U,"4608",CZX,"4109",CKG,"3393","0","320","119.778999","31.919701","106.641998","29.7192"
3U,"4608",CZX,"4109",XMN,"3383","0","321","119.778999","31.919701","118.127998","24.544001"
3U,"4608",CZX,"4109",ZUH,"6355","0","320","119.778999","31.919701","113.375999","22.006399"
3U,"4608",DLC,"3404",CKG,"3393","0","320","121.539001","38.965698","106.641998","29.7192"
3U,"4608",DLC,"3404",XUZ,"4149","0","320","121.539001","38.965698","117.555278","34.059056"
3U,"4608",DSN,"6434",CTU,"3395","0","319","109.861389","39.49","103.946999","30.578501"
3U,"4608",DSN,"6434",SHE,"4144","0","319","109.861389","39.49","123.483002","41.639801"
3U,"4608",DYG,"6353",NKG,"3388","0","319","110.443001","29.1028","118.862","31.742001"
3U,"4608",GXH,"9311",LXA,"4097","0","319","102.6447","34.8105","90.911903","29.2978"
3U,"4608",GXH,"9311",XIY,"3379","0","319","102.6447","34.8105","108.751999","34.447102"
3U,"4608",HAK,"4120",NGB,"3387","0","321","110.459","19.9349","121.461998","29.8267"
3U,"4608",HDG,"8407",CTU,"3395","0","319","114.425556","36.525833","103.946999","30.578501"
3U,"4608",HKG,"3077",YIH,"6361","0","320","113.915001","22.308901","111.479988","30.55655"
3U,"4608",HKG,"3077",ZHA,"6357","0","319","113.915001","22.308901","110.358002","21.214399"
3U,"4608",HKT,"3179",CTU,"3395","0","321","98.316902","8.1132","103.946999","30.578501"
3U,"4608",HRB,"3400",INC,"4085","0","321","126.25","45.623402","106.009003","38.481899"
3U,"4608",HRB,"3400",NZH,"6954","0","321","126.25","45.623402","117.33","49.566667"
3U,"4608",HRB,"3400",WNZ,"6392","0","321","126.25","45.623402","120.851997","27.912201"
3U,"4608",HRB,"3400",WUH,"3376","0","321","126.25","45.623402","114.208","30.7838"
3U,"4608",HRB,"3400",XUZ,"4149","0",320 321,"126.25","45.623402","117.555278","34.059056"
3U,"4608",INC,"4085",KWL,"3372","0","320","106.009003","38.481899","110.039001","25.2181"
3U,"4608",JIQ,"8781",CTU,"3395","0","320","108.831111","29.513333","103.946999","30.578501"
3U,"4608",KHN,"3384",NGB,"3387","0","321","115.900002","28.865","121.461998","29.8267"
3U,"4608",KMG,"3382",NGB,"3387","0","320","102.929167","25.101944","121.461998","29.8267"
3U,"4608",KWE,"3394",LHW,"3378","0","321","106.801003","26.5385","103.620003","36.515202"
3U,"4608",LJG,"4033",MIG,"6400","0","319","100.246002","26.68","104.740997","31.428101"
3U,"4608",NKG,"3388",MIG,"6400","0","319","118.862","31.742001","104.740997","31.428101"
3U,"4608",NKG,"3388",SYX,"4030","0","320","118.862","31.742001","109.412003","18.3029"
3U,"4608",NNG,"3373",SGN,"3205","0","320","108.171997","22.608299","106.652","10.8188"
3U,"4608",PVG,"3406",SPN,"2244","0","330","121.805","31.1434","145.729004","15.119"
3U,"4608",SHE,"4144",NGB,"3387","0","321","123.483002","41.639801","121.461998","29.8267"
3U,"4608",SYX,"4030",KWL,"3372","0","320","109.412003","18.3029","110.039001","25.2181"
3U,"4608",SYX,"4030",MIG,"6400","0","320","109.412003","18.3029","104.740997","31.428101"
3U,"4608",TPE,"2276",KMG,"3382","0","320","121.233002","25.0777","102.929167","25.101944"
3U,"4608",WXN,"6403",KMG,"3382","0","320","108.433","30.8017","102.929167","25.101944"
3U,"4608",WXN,"6403",PEK,"3364","0","320","108.433","30.8017","116.584999","40.080101"
3U,"4608",WXN,"6403",SZX,"3374","0","319","108.433","30.8017","113.810997","22.639299"
3U,"4608",XIY,"3379",LYI,"6385","0",319 320,"108.751999","34.447102","118.412003","35.046101"
3U,"4608",XIY,"3379",YBP,"4110","0","319","108.751999","34.447102","104.545","28.800556"
3U,"4608",XMN,"3383",KOW,"6379","0","320","118.127998","24.544001","114.778889","25.853333"
3U,"4608",XNN,"6366",LXA,"4097","0","319","102.042999","36.5275","90.911903","29.2978"
3U,"4608",XNN,"6366",MIG,"6400","0","320","102.042999","36.5275","104.740997","31.428101"
3U,"4608",XUZ,"4149",KMG,"3382","0","320","117.555278","34.059056","102.929167","25.101944"
3U,"4608",XUZ,"4149",SHE,"4144","0","320","117.555278","34.059056","123.483002","41.639801"
3U,"4608",YBP,"4110",SYX,"4030","0","319","104.545","28.800556","109.412003","18.3029"
3U,"4608",YVR,"156",SHE,"4144","0","330","-123.183998","49.193901","123.483002","41.639801"
3U,"4608",ZHY,"8043",PEK,"3364","0","320","105.154454","37.573125","116.584999","40.080101"
3U,"4608",ZHY,"8043",XNN,"6366","0","320","105.154454","37.573125","102.042999","36.5275"
4D,"442",CAI,"1128",TLV,"1590","0",E70,"31.4056","30.121901","34.8867","32.011398"
4E,\N,MCG,"5965",NIB,"7214","0",PAG,"-155.606003","62.9529","-154.358002","63.0186"
4E,\N,TLJ,"3423",MCG,"5965","0",PAG,"-155.977005","62.894402","-155.606003","62.9529"
4G,"2524",NCU,"6151",VKO,"2988","0",73G,"59.623299","42.4884","37.261501","55.591499"
4G,"2524",NUX,"4364",VKO,"2988","0",73G TU5,"76.520302","66.069397","37.261501","55.591499"
4G,"2524",NYM,"6143",VKO,"2988","0",73G,"72.698898","65.480904","37.261501","55.591499"
