id,name,city,country,faa,icao,alt,tz-offset,dst,tz,longitude,latitude
"197",Slave Lake Airport,Slave Lake,Canada,YZH,CYZH,"1912","-7",A,America/Edmonton,-114.777,55.293098
"198",Sandspit Airport,Sandspit,Canada,YZP,CYZP,"21","-8",A,America/Vancouver,-131.813995,53.254299
"199",Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,"594","-5",A,America/Toronto,-82.308899,42.999401
"200",Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,"71","-8",A,America/Vancouver,-127.366997,50.680599
"201",Whitecourt Airport,Whitecourt,Canada,YZU,CYZU,"2567","-7",A,America/Edmonton,-115.787003,54.143902
"202",Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,"180","-5",A,America/Toronto,-66.265602,50.223301
"203",Teslin Airport,Teslin,Canada,YZW,CYZW,"2313","-8",A,America/Vancouver,-132.742996,60.172798
"204",CFB Greenwood,Greenwood,Canada,YZX,CYZX,"92","-4",A,America/Halifax,-64.916901,44.984402
"205",Faro Airport,Faro,Canada,ZFA,CZFA,"2351","-8",A,America/Vancouver,-133.376007,62.2075
"206",Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,"116","-7",A,America/Edmonton,-134.860992,67.407501
"207",Blida Airport,Blida,Algeria,QLD,DAAB,"535","1",N,Africa/Algiers,2.81417,36.503601
"208",Bou Saada Airport,Bou Saada,Algeria,BUJ,DAAD,"1506","1",N,Africa/Algiers,4.20639,35.3325
"209",Soummam Airport,Bejaja,Algeria,BJA,DAAE,"20","1",N,Africa/Algiers,5.06992,36.712002
"210",Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,"82","1",N,Africa/Algiers,3.21541,36.691002
"211",Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,"3176","1",N,Africa/Algiers,9.45244,24.292801
"212",Boufarik Airport,Boufarik,Algeria,\N,DAAK,"335","1",N,Africa/Algiers,2.87611,36.545799
"213",Reggane Airport,Reggan,Algeria,\N,DAAN,"955","1",N,Africa/Algiers,0.285647,26.7101
"214",Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,"1778","1",N,Africa/Algiers,8.62265,26.723499
"215",Ain Oussera Airport,Ain Oussera,Algeria,\N,DAAQ,"2132","1",N,Africa/Algiers,2.87871,35.525398
"216",Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,"4518","1",N,Africa/Algiers,5.45108,22.811501
"217",Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV,"36","1",N,Africa/Algiers,5.87361,36.795101
"218",Mecheria Airport,Mecheria,Algeria,MZW,DAAY,"3855","1",N,Africa/Algiers,-0.242353,33.5359
"219",Relizane Airport,Relizane,Algeria,\N,DAAZ,"282","1",N,Africa/Algiers,0.626272,35.752201
"220",Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,"16","1",N,Africa/Algiers,7.809174,36.822201
"221",Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,"2265","1",N,Africa/Algiers,6.62039,36.276001
"222",Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,"2661","1",N,Africa/Algiers,8.12072,35.431599
"224",Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,"2540","1",N,Africa/Algiers,3.31154,32.930401
"225",Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,"3245","1",N,Africa/Algiers,1.46315,35.341099
"226",Bou Sfer Airport,Bou Sfer,Algeria,\N,DAOE,"187","1",N,Africa/Algiers,-0.805389,35.735401
"227",Tindouf Airport,Tindouf,Algeria,TIN,DAOF,"1453","1",N,Africa/Algiers,-8.1671,27.700399
"228",Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,DAOI,"463","1",N,Africa/Algiers,1.33177,36.2127
"229",Tafaraoui Airport,Oran,Algeria,TAF,DAOL,"367","1",N,Africa/Algiers,-0.532278,35.5424
"230",Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,"814","1",N,Africa/Algiers,-1.45,35.016701
"231",Es Senia Airport,Oran,Algeria,ORN,DAOO,"295","1",N,Africa/Algiers,-0.621183,35.623901
"232",Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,DAOS,"1614","1",N,Africa/Algiers,-0.593275,35.171799
"233",Ghriss Airport,Ghriss,Algeria,MUW,DAOV,"1686","1",N,Africa/Algiers,0.147142,35.207699
"234",Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,"919","1",N,Africa/Algiers,-0.186414,27.837601
"235",Biskra Airport,Biskra,Algeria,BSK,DAUB,"289","1",N,Africa/Algiers,5.73823,34.793301
"236",El Golea Airport,El Golea,Algeria,ELG,DAUE,"1306","1",N,Africa/Algiers,2.85959,30.571301
"237",Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,"1512","1",N,Africa/Algiers,3.79411,32.384102
"238",Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,"463","1",N,Africa/Algiers,6.14044,31.673
"239",In Salah Airport,In Salah,Algeria,INZ,DAUI,"896","1",N,Africa/Algiers,2.51202,27.250999
"240",Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,"279","1",N,Africa/Algiers,6.08867,33.067799
"241",Laghouat Airport,Laghouat,Algeria,LOO,DAUL,"2510","1",N,Africa/Algiers,2.92834,33.7644
"242",Timimoun Airport,Timimoun,Algeria,TMX,DAUT,"1027","1",N,Africa/Algiers,0.276033,29.237101
"243",Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,"492","1",N,Africa/Algiers,5.41278,31.9172
"244",In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,"1847","1",N,Africa/Algiers,9.64291,28.0515
"245",Cadjehoun Airport,Cotonou,Benin,COO,DBBB,"19","1",N,Africa/Porto-Novo,2.38435,6.35723
"246",Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,"1037","0",N,Africa/Ouagadougou,-1.51242,12.3532
"247",Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,"1511","0",N,Africa/Ouagadougou,-4.33097,11.1601
