id,matram,kyhieu,longitude,latitude,latitude,wqi
280,CLCB092022,CLCB9,105.24,9.92,0.17,21
281,CLCB102022,CLCB10,105.18,9.94,0.70,28
282,CLCB112022,CLCB11,105.12,9.87,0.64,19
283,CLCB122022,CLCB12,105.34,9.68,0.06,30
284,CLCB132022,CLCB13,105.15,9.85,0.52,17
285,CLCB142022,DD1,105.24,9.69,1.62,27
286,CLCB152022,DD2,105.11,9.86,1.62,26
287,CLCB162022,DD3,105.00,9.76,0.95,41
288,CLCB172022,DD4,105.21,9.85,0.95,23
289,BD00012019,BD1,106.58,10.43,0.95,54
290,BD00022019,BD2,106.55,10.47,1.07,35
291,BD00032019,BD03,106.47,10.51,1.87,45
292,BD00042019,BD04,106.41,10.53,1.56,55
293,BD00052019,BD05,106.36,10.56,1.00,56
294,BD00062019,BD06,106.49,10.38,1.03,50
295,BD00072019,BD7,106.40,10.49,1.04,51
296,BD00082019,BD8,106.37,10.36,0.65,47
297,BD00092019,BD09,106.34,10.39,0.70,45
298,BD00102019,BD10,106.30,10.43,1.03,38
299,BD00112019,BD11,106.29,10.52,0.64,66
300,BD00122019,BD12,106.20,10.48,0.06,61
301,BD00132019,BD13,106.29,10.34,1.62,56
302,BD00142019,BD14,106.26,10.46,0.95,58
303,BD00152019,BD15,106.35,10.54,1.07,55
304,BD00162019,BD16,106.52,10.41,1.87,51
305,BD00172019,BD17,106.50,10.49,1.56,45
306,BD00182019,BD18,106.44,10.42,1.00,39
307,BD00012020,BD1,106.58,10.43,0.73,44
308,BD00022020,BD2,106.55,10.47,1.03,22
309,BD00032020,BD03,106.47,10.51,0.66,57
310,BD00042020,BD04,106.41,10.53,0.54,43
311,BD00052020,BD05,106.36,10.56,0.54,58
312,BD00062020,BD06,106.49,10.38,0.57,59
313,BD00072020,BD7,106.40,10.49,0.41,46
314,BD00082020,BD8,106.37,10.36,0.32,49
315,BD00092020,BD09,106.34,10.39,0.44,26
316,BD00102020,BD10,106.30,10.43,0.25,55
317,BD00112020,BD11,106.29,10.52,0.31,49
318,BD00122020,BD12,106.20,10.48,0.36,52
319,BD00132020,BD13,106.29,10.34,0.36,59
320,BD00142020,BD14,106.44,10.42,0.19,38
321,BD00152020,BD15,106.35,10.54,0.33,50
322,BD00012021,BD1,106.58,10.43,0.64,41
323,BD00022021,BD2,106.55,10.47,0.58,42
324,BD00032021,BD03,106.47,10.51,0.46,49
325,BD00042021,BD04,106.41,10.53,0.56,43
326,BD00052021,BD05,106.36,10.56,0.39,53
327,BD00062021,BD06,106.49,10.38,0.39,53
328,BD00072021,BD7,106.40,10.49,0.38,47
329,BD00082021,BD8,106.37,10.36,0.40,53
330,BD00092021,BD09,106.34,10.39,0.44,55
331,BD00102021,BD10,106.30,10.43,0.41,52
332,BD00112021,BD11,106.29,10.52,0.31,52
333,BD00122021,BD12,106.20,10.48,0.41,52
334,BD00132021,BD13,106.29,10.34,0.33,55
335,BD00142021,DD1,106.45,10.35,0.33,54
336,BD00152021,DD2,106.33,10.34,0.35,34
337,BD00162021,DD3,106.25,10.42,0.35,54
338,BD00172021,DD4,106.33,10.48,0.35,49
339,BD00182021,DD5,106.37,10.45,0.35,48
