airline,airline_id,src,src_id,dest,dest_id,codeshare,stops,equipment,src_lat,src_lon,dest_lat,dest_lon
VN,"5309",SGN,"3205",HAN,"3199",,"0",321 330 777 332,"10.81879997","106.6520004","21.22120094","105.8069992"
VN,"5309",SGN,"3205",HKG,"3077",,"0",321 330,"10.81879997","106.6520004","22.308901","113.915001"
VN,"5309",SGN,"3205",HPH,"6188",,"0","321","10.81879997","106.6520004","20.81940079","106.7249985"
VN,"5309",SGN,"3205",HUI,"3201",,"0","321","10.81879997","106.6520004","16.4015007","107.7030029"
VN,"5309",SGN,"3205",ICN,"3930",,"0",321 330 332,"10.81879997","106.6520004","37.46910095","126.4509964"
VN,"5309",SGN,"3205",KHH,"2264",,"0","321","10.81879997","106.6520004","22.57710075","120.3499985"
VN,"5309",SGN,"3205",KIX,"3992",,"0",332 321,"10.81879997","106.6520004","34.4272995","135.2440033"
VN,"5309",SGN,"3205",KUL,"3304",,"0","321","10.81879997","106.6520004","2.745579958","101.7099991"
VN,"5309",SGN,"3205",MEL,"3339",,"0","330","10.81879997","106.6520004","-37.673302","144.843002"
VN,"5309",SGN,"3205",MNL,"2397",Y,"0","320","10.81879997","106.6520004","14.5086","121.019997"
VN,"5309",SGN,"3205",NGO,"3942",,"0","321","10.81879997","106.6520004","34.85839844","136.8049927"
VN,"5309",SGN,"3205",NRT,"2279",,"0",330 777 321,"10.81879997","106.6520004","35.76470184","140.3860016"
VN,"5309",SGN,"3205",PNH,"3034",,"0","321","10.81879997","106.6520004","11.54660034","104.8440018"
VN,"5309",SGN,"3205",PQC,"3204",,"0",321 AT7,"10.81879997","106.6520004","10.1698","103.9931"
VN,"5309",SGN,"3205",PUS,"2372",,"0","321","10.81879997","106.6520004","35.17950058","128.9380035"
VN,"5309",SGN,"3205",PVG,"3406",,"0","321","10.81879997","106.6520004","31.14340019","121.8050003"
VN,"5309",SGN,"3205",PXU,"6194",,"0",AT7,"10.81879997","106.6520004","14.00450039","108.0169983"
VN,"5309",SGN,"3205",REP,"3035",,"0","321","10.81879997","106.6520004","13.41069984","103.8130035"
VN,"5309",SGN,"3205",RGN,"3239",,"0","321","10.81879997","106.6520004","16.90730095","96.1332016"
VN,"5309",SGN,"3205",SIN,"3316",,"0","321","10.81879997","106.6520004","1.35019","103.994003"
VN,"5309",SGN,"3205",SYD,"3361",,"0","330","10.81879997","106.6520004","-33.94609833","151.177002"
VN,"5309",SGN,"3205",TBB,"4158",Y,"0",AT7,"10.81879997","106.6520004","13.04959965","109.3339996"
VN,"5309",SGN,"3205",THD,"9135",,"0","321","10.81879997","106.6520004",,
VN,"5309",SGN,"3205",TPE,"2276",,"0","321","10.81879997","106.6520004","25.0777","121.233002"
VN,"5309",SGN,"3205",UIH,"6193",,"0","321","10.81879997","106.6520004","13.955","109.042"
VN,"5309",SGN,"3205",VCL,"4157",Y,"0",AT7,"10.81879997","106.6520004","15.40330029","108.7060013"
VN,"5309",SGN,"3205",VCS,"6190",Y,"0",AT7,"10.81879997","106.6520004","8.73183","106.633003"
VN,"5309",SGN,"3205",VDH,"4154",,"0","321","10.81879997","106.6520004","17.515","106.590556"
VN,"5309",SGN,"3205",VII,"6195",,"0","321","10.81879997","106.6520004","18.73760033","105.6709976"
VN,"5309",SGN,"3205",VKG,"4155",,"0",AT7,"10.81879997","106.6520004","9.958029972","105.1323795"
VN,"5309",SIN,"3316",HAN,"3199",,"0","321","1.35019","103.994003","21.22120094","105.8069992"
VN,"5309",SIN,"3316",SGN,"3205",,"0","321","1.35019","103.994003","10.81879997","106.6520004"
VN,"5309",SYD,"3361",SGN,"3205",,"0","330","-33.94609833","151.177002","10.81879997","106.6520004"
VN,"5309",TBB,"4158",HAN,"3199",,"0",AT7,"13.04959965","109.3339996","21.22120094","105.8069992"
VN,"5309",TBB,"4158",SGN,"3205",Y,"0",AT7,"13.04959965","109.3339996","10.81879997","106.6520004"
VN,"5309",THD,"9135",SGN,"3205",,"0","321",,,"10.81879997","106.6520004"
VN,"5309",TPE,"2276",HAN,"3199",,"0","321","25.0777","121.233002","21.22120094","105.8069992"
VN,"5309",TPE,"2276",SGN,"3205",,"0","321","25.0777","121.233002","10.81879997","106.6520004"
VN,"5309",UIH,"6193",HAN,"3199",,"0","321","13.955","109.042","21.22120094","105.8069992"
VN,"5309",UIH,"6193",SGN,"3205",,"0","321","13.955","109.042","10.81879997","106.6520004"
VN,"5309",VCA,"6191",HAN,"3199",,"0","321","10.08510017","105.711998","21.22120094","105.8069992"
VN,"5309",VCA,"6191",PQC,"3204",,"0",AT7,"10.08510017","105.711998","10.1698","103.9931"
VN,"5309",VCA,"6191",VCS,"6190",Y,"0",AT7,"10.08510017","105.711998","8.73183","106.633003"
VN,"5309",VCL,"4157",HAN,"3199",,"0",AT7,"15.40330029","108.7060013","21.22120094","105.8069992"
VN,"5309",VCL,"4157",SGN,"3205",Y,"0",AT7,"15.40330029","108.7060013","10.81879997","106.6520004"
VN,"5309",VCS,"6190",SGN,"3205",Y,"0",AT7,"8.73183","106.633003","10.81879997","106.6520004"
VN,"5309",VCS,"6190",VCA,"6191",Y,"0",AT7,"8.73183","106.633003","10.08510017","105.711998"
VN,"5309",VDH,"4154",HAN,"3199",,"0",AT7 321,"17.515","106.590556","21.22120094","105.8069992"
VN,"5309",VDH,"4154",SGN,"3205",,"0","321","17.515","106.590556","10.81879997","106.6520004"
VN,"5309",VII,"6195",DAD,"3196",,"0",AT7,"18.73760033","105.6709976","16.04389954","108.1989975"
VN,"5309",VII,"6195",HAN,"3199",,"0",AT7 321,"18.73760033","105.6709976","21.22120094","105.8069992"
VN,"5309",VII,"6195",SGN,"3205",,"0","321","18.73760033","105.6709976","10.81879997","106.6520004"
VN,"5309",VII,"6195",VTE,"3120",,"0",AT7,"18.73760033","105.6709976","17.98830032","102.5630035"
VN,"5309",VKG,"4155",SGN,"3205",,"0",AT7,"9.958029972","105.1323795","10.81879997","106.6520004"
VN,"5309",VTE,"3120",HAN,"3199",,"0","321","17.98830032","102.5630035","21.22120094","105.8069992"
VN,"5309",VTE,"3120",PNH,"3034",,"0","321","17.98830032","102.5630035","11.54660034","104.8440018"
VN,"5309",VTE,"3120",VII,"6195",,"0",AT7,"17.98830032","102.5630035","18.73760033","105.6709976"
VN,"5309",WNZ,"6392",DAD,"3196",,"0","321","27.912201","120.851997","16.04389954","108.1989975"
VN,"5309",XMN,"3383",DAD,"3196",,"0","321","24.54400063","118.1279984","16.04389954","108.1989975"
