column_0,Name,Description,AOI Group,geometry,centroid,centroid_lat,centroid_lon,timezone
10,cargill_ouro_verde,,Cargill,"MULTIPOLYGON (((-45.89984995925485 -11.53382556910833, -45.90240410330122 -11.53438571006805, -45.90181397615416 -11.53714122597755, -45.89925061137558 -11.53655398715135, -45.89984995925485 -11.53382556910833)))",POINT (-45.90083123987134 -11.53547832501044),-11.535478325010438,-45.90083123987134,America/Bahia
11,chs_bom_jesus,,CHS,"MULTIPOLYGON (((-44.95987549832364 -9.277373696101236, -44.95815211757895 -9.270103137240895, -44.96480291087357 -9.269995335393048, -44.9668661131881 -9.277110185886386, -44.95987549832364 -9.277373696101236)))",POINT (-44.96242141472304 -9.273679128125826),-9.273679128125826,-44.96242141472304,America/Fortaleza
12,fazenda_bela_vista,,Farm,"MULTIPOLYGON (((-46.17487740668003 -13.64217726825534, -46.16695536203463 -13.64223729589425, -46.16695536203463 -13.64804489731803, -46.17518625832972 -13.6479698646216, -46.17487740668003 -13.64217726825534)))",POINT (-46.17099264871871 -13.6451258467879),-13.645125846787902,-46.17099264871871,America/Bahia
13,fazenda_celeiro_piaui,,Farm,"MULTIPOLYGON (((-45.12458937693043 -9.393606507542628, -45.11479188023353 -9.395760770868876, -45.11731720399263 -9.40469613742242, -45.12722862507277 -9.401961227922087, -45.12458937693043 -9.393606507542628)))",POINT (-45.12093876181212 -9.399037838377366),-9.399037838377366,-45.12093876181212,America/Fortaleza
14,fazenda_chapadao,,Farm,"MULTIPOLYGON (((-46.21355384421861 -11.97486719866569, -46.21000548862301 -11.97567625986721, -46.2108725679964 -11.97965628377789, -46.21452764104674 -11.97882113607781, -46.21355384421861 -11.97486719866569)))",POINT (-46.21224204211176 -11.97726507789523),-11.97726507789523,-46.21224204211176,America/Bahia
15,fazenda_indiana,,Farm,"MULTIPOLYGON (((-45.92036559006169 -12.97610333903155, -45.91846119388495 -12.98056984705509, -45.92624616804844 -12.98348825893544, -45.9279675117039 -12.97902276665797, -45.92036559006169 -12.97610333903155)))",POINT (-45.92324824228817 -12.97980038315085),-12.97980038315085,-45.92324824228817,America/Bahia
16,fazenda_nossa_sra_aparecida,,Farm,"MULTIPOLYGON (((-46.11310073689182 -11.03070381430233, -46.10889485969162 -11.03077788819043, -46.10906878740088 -11.03410273410874, -46.11330072501534 -11.03407005557328, -46.11310073689182 -11.03070381430233)))",POINT (-46.11109574657716 -11.03241513576541),-11.032415135765406,-46.111095746577156,America/Bahia
17,slc_fazenda_panorama,SLC Agricola,SLC Agricola,"MULTIPOLYGON (((-46.09933069600493 -13.40059100188951, -46.08974697381279 -13.40343763873632, -46.0935511994135 -13.41513221808739, -46.10313492161924 -13.41226199877859, -46.09933069600493 -13.40059100188951)))",POINT (-46.09643970983853 -13.40785686366243),-13.407856863662431,-46.09643970983853,America/Bahia
18,fazenda_santa_maria,,Farm,"MULTIPOLYGON (((-46.26866752353107 -10.96616331900172, -46.26494564593801 -10.9663610566125, -46.26555826340542 -10.97772475205353, -46.26932901508002 -10.97756386004512, -46.26866752353107 -10.96616331900172)))",POINT (-46.26712684547938 -10.9719650160018),-10.9719650160018,-46.26712684547938,America/Bahia
19,unnamed_farm_001,,Farm,"MULTIPOLYGON (((-46.1514948221818 -12.62893781245226, -46.14782354933382 -12.6366918174383, -46.15521440125517 -12.63949639961849, -46.15883736787774 -12.63174247969815, -46.1514948221818 -12.62893781245226)))",POINT (-46.1533396056685 -12.63422024562361),-12.634220245623608,-46.1533396056685,America/Bahia
20,bunge_silo_ouro_verde,,Bunge,"MULTIPOLYGON (((-46.00452848623306 -11.56447036396769, -46.00012990983125 -11.57075731213662, -46.00396361642146 -11.57342445964273, -46.0068990874096 -11.57122905436243, -46.00452848623306 -11.56447036396769)))",POINT (-46.00380224780701 -11.56961540097401),-11.569615400974012,-46.00380224780701,America/Bahia
21,fazenda_sao_luis_riachao_das_neves,,Farm,"MULTIPOLYGON (((-45.79806857009332 -11.64986278554261, -45.79692031014843 -11.65115063742688, -45.79553128602155 -11.65016207559737, -45.79698513127435 -11.64869283041764, -45.79806857009332 -11.64986278554261)))",POINT (-45.796851499824 -11.64995789818884),-11.649957898188838,-45.796851499824,America/Bahia
22,cargill_barreiras,Soy & grains,Cargill,"MULTIPOLYGON (((-45.09512621739452 -12.11840876263047, -45.09071868006185 -12.1216579396108, -45.08899520778019 -12.11944980633506, -45.0930878948148 -12.11645343731822, -45.09512621739452 -12.11840876263047)))",POINT (-45.09199184596753 -12.11900742683927),-12.119007426839273,-45.09199184596753,America/Bahia
