column_0,src_aoi,dest_aoi,trips_total,devices_total,trips_2016Q1,trips_2016Q2,trips_2016Q3,trips_2016Q4,trips_2017Q1,trips_2017Q2,trips_2017Q3,trips_2017Q4,trips_2018Q1,trips_2018Q2,trips_2018Q3,trips_2018Q4,trips_2019Q1,trips_2019Q2,devices_2016Q1,devices_2016Q2,devices_2016Q3,devices_2016Q4,devices_2017Q1,devices_2017Q2,devices_2017Q3,devices_2017Q4,devices_2018Q1,devices_2018Q2,devices_2018Q3,devices_2018Q4,devices_2019Q1,devices_2019Q2,src_group,src_lat,src_lon,dest_group,dest_lat,dest_lon
25,alz_coaceral,fazenda_di_domenico,4,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.628831414498043,-45.740351684859725
26,alz_coaceral,fazenda_di_domenico_2,10,6,0,0,0,0,0,0,0,0,2,1,0,1,1,5,0,0,0,0,0,0,0,0,1,1,0,1,1,2,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.591976951619394,-45.76135292601092
27,alz_coaceral,port_cotegipe,6,6,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,3,1,ALZ,-10.56947881320294,-45.616555755055316,Port,-12.789990064463964,-38.475345685344294
28,alz_coaceral,slc_fazenda_parceiro,7,4,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,ALZ,-10.56947881320294,-45.616555755055316,SLC Agricola,-10.561974167758288,-45.4494391064967
29,alz_coaceral,unnamed_farm_023,21,18,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,ALZ,-10.56947881320294,-45.616555755055316,Farm,-11.610576192347839,-45.84390306328809
30,alz_coaceral,unnamed_farm_026,9,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.40434209755447,-45.516406637678415
31,alz_coaceral,unnamed_farm_027,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.76148455855798,-45.66348972215333
32,alz_coaceral,unnamed_farm_028,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.753408725292214,-45.68468303108442
33,alz_coaceral,unnamed_farm_029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.73352105522914,-45.708157897226236
34,alz_coaceral,unnamed_farm_030,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.612735534968204,-45.71874232708521
35,alz_coaceral,unnamed_farm_031,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.596444082073235,-45.68794099532225
36,alz_coaceral,unnamed_farm_032,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.68042286742881,-45.65667363639099
37,alz_coaceral,unnamed_farm_033,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.66650556301142,-45.788402932851305
38,alz_coaceral,unnamed_farm_034,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.736001458598363,-45.7963079322169
39,alz_coaceral,unnamed_farm_035,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,ALZ,-10.56947881320294,-45.616555755055316,Farm,-10.53744024641651,-45.602254021013394
